Time[s],Packet,Type,Identifier,Control,Data,CRC,ACK,RealTime
'0.000119300000000','0','DATA','0x00000141','0x8','0x010x020x030x040x050x060x070x08','0x54AA','ACK','1645191933.144914'
'0.000427300000000','1','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.144914'
'0.000474300000000','2','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.144914'
'0.000644300000000','3','DATA','0x07B','0x8','0x020x030x040x050x060x070x080x09','0x7C55','ACK','1645191933.144914'
'0.000762300000000','4','DATA','0x00000141','0x8','0x020x030x040x050x060x070x080x09','0x1B84','ACK','1645191933.144914'
'0.001069300000000','5','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.144914'
'0.001116300000000','6','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.144914'
'0.001286300000000','7','DATA','0x07B','0x8','0x030x040x050x060x070x080x090x0A','0x4962','ACK','1645191933.144914'
'0.001402300000000','8','DATA','0x00000141','0x8','0x030x040x050x060x070x080x090x0A','0x2EB3','ACK','1645191933.144914'
'0.001707300000000','9','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.144914'
'0.001754300000000','10','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.144914'
'0.001924300000000','11','DATA','0x07B','0x8','0x040x050x060x070x080x090x0A0x0B','0x02E2','ACK','1645191933.144914'
'0.002041300000000','12','DATA','0x00000141','0x8','0x040x050x060x070x080x090x0A0x0B','0x6533','ACK','1645191933.144914'
'0.002345300000000','13','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.144914'
'0.002392300000000','14','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.144914'
'0.002562300000000','15','DATA','0x07B','0x8','0x050x060x070x080x090x0A0x0B0x0C','0x1865','ACK','1645191933.144914'
'0.002677300000000','16','DATA','0x00000141','0x8','0x050x060x070x080x090x0A0x0B0x0C','0x7FB4','ACK','1645191933.144914'
'0.002981300000000','17','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.144914'
'0.003028300000000','18','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.144914'
'0.003198300000000','19','DATA','0x07B','0x8','0x060x070x080x090x0A0x0B0x0C0x0D','0x1A4D','ACK','1645191933.144914'
'0.003313300000000','20','DATA','0x00000141','0x8','0x060x070x080x090x0A0x0B0x0C0x0D','0x7D9C','ACK','1645191933.144914'
'0.003616300000000','21','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.144914'
'0.003663300000000','22','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.144914'
'0.003833300000000','23','DATA','0x07B','0x8','0x070x080x090x0A0x0B0x0C0x0D0x0E','0x1C52','ACK','1645191933.144914'
'0.003947300000000','24','DATA','0x00000141','0x8','0x070x080x090x0A0x0B0x0C0x0D0x0E','0x7B83','ACK','1645191933.144914'
'0.004249300000000','25','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.144914'
'0.004296300000000','26','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.144914'
'0.004466300000000','27','DATA','0x07B','0x8','0x080x090x0A0x0B0x0C0x0D0x0E0x0F','0x415D','ACK','1645191933.144914'
'0.004583300000000','28','DATA','0x00000141','0x8','0x080x090x0A0x0B0x0C0x0D0x0E0x0F','0x268C','ACK','1645191933.144914'
'0.004889300000000','29','REMOTE','0x07B','0x0','','0x6895','ACK','1645191933.144914'
'0.004936300000000','30','REMOTE','0x00000141','0x0','','0x35BB','ACK','1645191933.144914'
'0.005106300000000','31','DATA','0x07B','0x8','0x090x0A0x0B0x0C0x0D0x0E0x0F0x10','0x2B6E','ACK','1645191933.144914'
